프로모션 정리,,,,,,,
시작일,종료일,행사 등급,프로모션명,브랜드,리테일,예산,메모
2025-08-31,2025-09-12,S,253Q 메가와리 본행사,Total,Qoo10,,후속 행사 (본행사 종료와 겹침)
2025-09-10,2025-09-12,A,253Q 애프터 메가와리,Total,Qoo10,,짧은 후속 행사
2025-09-04,2025-09-10,S,2509 라쿠텐 슈퍼세일,Total,RKT,,RKT 분기별 슈퍼세일
2025-09-19,2025-09-23,B,2509 오카이모노 마라톤,Total,RKT,,RKT 마라톤
2025-10-01,2025-10-09,A,2510 메가포,Total,Qoo10,,Qoo10 메가포
2025-10-04,2025-10-27,B,2510 오카이모노 마라톤,Total,RKT,,RKT 마라톤 (장기회차)
2025-11-01,2025-11-06,A,2511 메가포,Total,Qoo10,,Qoo10 메가포
2025-11-04,2025-11-10,S,2511 라쿠텐 슈퍼세일,Total,RKT,,RKT 분기별 슈퍼세일
2025-11-14,2025-11-26,S,254Q 메가와리 본행사,Total,Qoo10,,"Qoo10 4Q 메가와리, 
12일 진행 (11/14 금 17시~11/26 수 23:59) "
2025-11-20,2025-11-26,A,2511 블랙 프라이데이,Total,RKT,,RKT 블랙프라이데이
2025-12-04,2025-12-10,S,2512 라쿠텐 슈퍼세일,Total,RKT,,RKT 분기별 슈퍼세일
2025-12-05,2025-12-14,B,2512 Year End Sale,Total,Qoo10,,Qoo10 연말 세일
2025-12-19,2025-12-25,B,2512 크리스마스·넨마츠 세일,Total,RKT,,RKT 크리스마스/연말 세일
2026-01-01,2026-01-08,B,2601 하츠우리 세일 (Qoo10),Total,Qoo10,,Qoo10 일본몰 신년 (하츠우리)
2026-01-02,2026-01-08,B,2601 하츠우리 세일 (RKT),Total,RKT,,"라쿠텐 신년 세일, 1/2 시작 일반적 youtube"
2026-01-11,2026-01-17,B,2601 브랜드잭 세일,Total,Qoo10,,Qoo10 브랜드잭
2026-01-12,2026-01-19,B,2601 성인의날,Total,Qoo10,,일본 성인의날 (1/12 월요일)
2026-02-01,2026-02-08,A,2602 메가포,Total,Qoo10,,Qoo10 메가포
2026-02-10,2026-02-15,B,2602 발렌타인 할인,Total,Qoo10,,Qoo10 발렌타인
2026-02-23,2026-02-26,S,261Q 메가와리 티져,Total,Qoo10,,Qoo10 1Q 메가와리 티저
2026-02-27,2026-03-11,S,261Q 메가와리 본행사,Total,Qoo10,,"Qoo10 1Q 메가와리, 12일 진행 youtube"
2026-03-10,2026-03-12,A,261Q 애프터 메가와리,Total,Qoo10,,후속 행사 (본행사 종료와 겹침)
2026-04-01,2026-04-10,A,2604 칸코스마츠리 / 1차 마라톤,Total,RKT,,RKT 칸코스 + 1차 마라톤
2026-04-11,2026-04-17,A,2604 2차 마라톤,Total,RKT,,RKT 마라톤 (2차)
2026-04-21,2026-04-27,A,2604 3차 마라톤,Total,RKT,,RKT 마라톤 (3차)
2026-04-28,2026-04-30,A,2605 메가포 티져,Total,Qoo10,,Qoo10 메가포 사전 티저
2026-05-01,2026-05-10,A,2605 메가포,Total,Qoo10,,Qoo10 메가포 (5월 본행사)
2026-05-10,2026-05-28,B,2605 점포정리특가,BG,Qoo10,,Qoo10 BG 점포정리 특가
2026-05-11,2026-05-17,A,2605 애프터 메가포,WM,Qoo10,,Qoo10 애프터 메가포 
2026-05-11,2026-05-17,A,2605 애프터 메가포,CG,Qoo10,,Qoo10 애프터 메가포 
2026-05-25,2026-05-28,S,262Q 메가와리 티져,Total,Qoo10,,Qoo10 2Q 메가와리 티저
2026-05-29,2026-06-10,S,262Q 메가와리 본행사,Total,Qoo10,,"Qoo10 2Q 메가와리, 12일 진행 youtube"
2026-05-01,2026-05-08,B,2605 골든위크,Total,RKT,,RKT 골든위크 자체행사
2026-05-09,2026-05-16,A,2605 카미토쿠,Total,RKT,,RKT 마라톤 (1차)
2026-05-23,2026-05-27,A,2605 2차 마라톤,Total,RKT,,RKT 마라톤 (2차)
2026-06-04,2026-06-11,S,2606 라쿠텐 슈퍼세일,Total,RKT,,RKT 분기별 슈퍼세일
2026-06-11,2026-06-14,A,2606 애프터 메가와리,Total,Qoo10,,짧은 후속 행사
2026-07-01,2026-07-09,A,2607 메가포,Total,Qoo10,,"BOH :콜라겐 겔미스트 위주 세트(~7/21)
NAD토너 - 100개 샘플마켓
신제품 립 특가 + 일일특가 + 선착증정 등"
2026-07-10,2026-07-13,B,2607 애프터 메가포,Total,Qoo10,,짧은 후속 행사
2026-07-14,2026-07-20,B,2607 바다의날 프로모션,Total,Qoo10,,"메인 상품 할인
999엔딜 클리어런스
콜라겐 세트 판매
콜라겔 클밤 /세럼패드 1+1
초반 3일간 샵 쿠폰 발급
철별베이스세트 운영
일일특가 + 신제품 립 특가"
2026-07-04,2026-07-11,,2607 칸코스,Total,RKT,,슈퍼딜  단독 LP 기획전
2026-07-19,2026-07-26,,2607 2차 마라톤,Total,RKT,,
