date,brand,channel,campaign,adset,creative_id,creative_name,impressions,clicks,spend,conversions,revenue,ctr,cpc,cpa,roas
2025-05-06,BOH,TikTok,BOH_5월할인_숏폼,20-35_전체_전국,cr003,BOH 할인 프로모션,96000,2880,254000,118,2742000,3.00,88,2152,1079
2025-05-01,BOH,Google,BOH_리타겟팅_디스플레이,리타겟팅_사이트방문,cr004,BOH 리타겟팅 배너,22000,660,143000,88,2400000,3.00,216,1625,1678
2025-05-04,BOH,Google,BOH_리타겟팅_디스플레이,리타겟팅_장바구니,cr004,BOH 리타겟팅 배너,21000,630,141000,87,2380000,3.00,223,1620,1687
2025-05-07,BOH,Google,BOH_리타겟팅_디스플레이,리타겟팅_구매완료,cr004,BOH 리타겟팅 배너,22000,660,146000,90,2420000,3.00,221,1622,1657
2025-03-15,WM,Meta,WM_신규가입_전환,20-35_여성_전국,cr005,WM 신규 가입 피드,48000,1584,306000,127,2166000,3.30,193,2409,708
2025-03-20,WM,Meta,WM_신규가입_전환,25-40_남성_전국,cr005,WM 신규 가입 피드,50000,1650,318000,132,2244000,3.30,192,2409,705
2025-03-25,WM,Meta,WM_신규가입_전환,20-35_전체_수도권,cr005,WM 신규 가입 피드,47000,1551,296000,123,2090000,3.30,190,2406,706
2025-03-18,WM,Naver,WM_신규가입_검색,키워드_브랜드,cr005,WM 신규 가입 피드,29000,870,193000,70,1266000,3.00,221,2757,656
2025-03-22,WM,Naver,WM_신규가입_검색,키워드_경쟁사,cr005,WM 신규 가입 피드,30000,900,196000,71,1274000,3.00,217,2760,650
2025-03-26,WM,Naver,WM_신규가입_검색,키워드_일반,cr005,WM 신규 가입 피드,29000,870,191000,70,1260000,3.00,219,2728,659
2025-04-01,WM,YouTube,WM_서비스소개_인스트림,18-45_전체_전국,cr006,WM 서비스 소개 영상,107000,1284,293000,92,2066000,1.20,228,3184,705
2025-04-08,WM,YouTube,WM_서비스소개_인스트림,20-35_전체_수도권,cr006,WM 서비스 소개 영상,108000,1296,295000,93,2080000,1.20,227,3172,705
2025-04-15,WM,YouTube,WM_서비스소개_인스트림,25-45_전체_전국,cr006,WM 서비스 소개 영상,105000,1260,292000,91,2054000,1.20,231,3208,703
2025-04-05,WM,Meta,WM_서비스소개_피드,20-35_여성_전국,cr006,WM 서비스 소개 영상,65000,1950,350000,138,3266000,3.00,179,2536,933
2025-04-12,WM,Meta,WM_서비스소개_피드,25-40_남성_전국,cr006,WM 서비스 소개 영상,65000,1950,350000,139,3268000,3.00,179,2517,934
2025-04-19,WM,Meta,WM_서비스소개_피드,20-35_전체_수도권,cr006,WM 서비스 소개 영상,65000,1950,350000,138,3266000,3.00,179,2536,933
2025-05-01,WM,Google,WM_쿠폰_검색,키워드_브랜드,cr007,WM 쿠폰 프로모션,24000,960,170000,108,2366000,4.00,177,1574,1392
2025-05-04,WM,Google,WM_쿠폰_검색,키워드_경쟁사,cr007,WM 쿠폰 프로모션,24000,960,170000,108,2368000,4.00,177,1574,1393
2025-05-07,WM,Google,WM_쿠폰_검색,키워드_일반,cr007,WM 쿠폰 프로모션,24000,960,170000,108,2366000,4.00,177,1574,1392
2025-05-02,WM,Naver,WM_쿠폰_검색DA,키워드_브랜드,cr007,WM 쿠폰 프로모션,18000,630,126000,70,1530000,3.50,200,1800,1214
2025-05-05,WM,Naver,WM_쿠폰_검색DA,키워드_경쟁사,cr007,WM 쿠폰 프로모션,18000,630,127000,70,1532000,3.50,201,1814,1207
2025-05-08,WM,Naver,WM_쿠폰_검색DA,키워드_일반,cr007,WM 쿠폰 프로모션,19000,665,127000,70,1538000,3.50,190,1814,1211
2025-04-15,WM,Kakao,WM_카카오_비즈보드,20-45_전체_전국,cr008,WM 카카오 메시지 배너,37000,740,216000,56,1066000,2.00,292,3857,493
2025-04-20,WM,Kakao,WM_카카오_비즈보드,20-35_여성_전국,cr008,WM 카카오 메시지 배너,38000,760,218000,57,1068000,2.00,286,3824,490
2025-04-25,WM,Kakao,WM_카카오_비즈보드,25-40_남성_전국,cr008,WM 카카오 메시지 배너,37000,740,216000,55,1066000,2.00,292,3927,493
2025-03-01,CG,Meta,CG_봄컬렉션_전환,20-35_여성_전국,cr009,CG 봄 컬렉션 피드,55000,1375,260000,83,1870000,2.50,189,3132,719
2025-03-08,CG,Meta,CG_봄컬렉션_전환,25-40_여성_수도권,cr009,CG 봄 컬렉션 피드,55000,1375,260000,83,1866000,2.50,189,3132,718
2025-03-15,CG,Meta,CG_봄컬렉션_전환,20-35_전체_전국,cr009,CG 봄 컬렉션 피드,55000,1375,260000,82,1864000,2.50,189,3170,717
2025-03-05,CG,Google,CG_봄컬렉션_쇼핑,쇼핑_전체,cr009,CG 봄 컬렉션 피드,31000,775,173000,55,1268000,2.50,223,3145,733
2025-03-12,CG,Google,CG_봄컬렉션_쇼핑,쇼핑_카테고리,cr009,CG 봄 컬렉션 피드,30000,750,173000,55,1266000,2.50,230,3145,731
2025-03-19,CG,Google,CG_봄컬렉션_쇼핑,키워드_브랜드,cr009,CG 봄 컬렉션 피드,31000,775,174000,55,1266000,2.50,224,3163,727
2025-04-01,CG,Meta,CG_브랜드릴스_인지,18-30_여성_전국,cr010,CG 브랜드 릴스,82000,2460,367000,165,4170000,3.00,149,2224,1136
2025-04-08,CG,Meta,CG_브랜드릴스_인지,20-35_여성_수도권,cr010,CG 브랜드 릴스,82000,2460,367000,165,4170000,3.00,149,2224,1136
2025-04-15,CG,Meta,CG_브랜드릴스_인지,18-30_전체_전국,cr010,CG 브랜드 릴스,81000,2430,366000,165,4160000,3.00,150,2218,1136
2025-04-05,CG,TikTok,CG_브랜드릴스_틱톡,18-24_여성_전국,cr010,CG 브랜드 릴스,137000,4110,296000,206,5064000,3.00,72,1437,1710
2025-04-12,CG,TikTok,CG_브랜드릴스_틱톡,18-30_여성_전국,cr010,CG 브랜드 릴스,138000,4140,297000,206,5070000,3.00,71,1441,1707
2025-04-19,CG,TikTok,CG_브랜드릴스_틱톡,18-24_전체_전국,cr010,CG 브랜드 릴스,137000,4110,297000,206,5066000,3.00,72,1441,1706
2025-05-01,CG,Meta,CG_멤버십_전환,25-40_여성_전국,cr011,CG 멤버십 가입 유도,63000,1890,317000,127,3174000,3.00,167,2496,1001
2025-05-05,CG,Meta,CG_멤버십_전환,30-45_여성_수도권,cr011,CG 멤버십 가입 유도,63000,1890,317000,127,3176000,3.00,167,2496,1002
2025-05-08,CG,Meta,CG_멤버십_전환,25-40_전체_전국,cr011,CG 멤버십 가입 유도,62000,1860,316000,126,3150000,3.00,169,2508,997
2025-05-03,CG,Naver,CG_멤버십_DA,DA_관심사_패션,cr011,CG 멤버십 가입 유도,26000,780,153000,65,1600000,3.00,196,2353,1045
2025-05-06,CG,Naver,CG_멤버십_DA,DA_리타겟팅,cr011,CG 멤버십 가입 유도,26000,780,154000,65,1600000,3.00,197,2369,1038
2025-05-09,CG,Naver,CG_멤버십_DA,DA_관심사_뷰티,cr011,CG 멤버십 가입 유도,26000,780,153000,65,1600000,3.00,196,2353,1045
2025-05-01,CG,TikTok,CG_챌린지_숏폼,18-24_여성_전국,cr012,CG TikTok 숏폼,173000,5190,350000,240,6160000,3.00,67,1458,1760
2025-05-04,CG,TikTok,CG_챌린지_숏폼,18-30_전체_전국,cr012,CG TikTok 숏폼,174000,5220,351000,241,6174000,3.00,67,1456,1758
2025-05-07,CG,TikTok,CG_챌린지_숏폼,20-30_여성_전국,cr012,CG TikTok 숏폼,173000,5190,349000,239,6166000,3.00,67,1460,1767
2025-05-02,CG,Meta,CG_챌린지_피드,18-30_여성_전국,cr012,CG TikTok 숏폼,66000,1980,290000,137,3402000,3.00,146,2116,1173
2025-05-05,CG,Meta,CG_챌린지_피드,18-24_전체_전국,cr012,CG TikTok 숏폼,66000,1980,290000,138,3400000,3.00,146,2101,1172
2025-05-08,CG,Meta,CG_챌린지_피드,20-35_여성_수도권,cr012,CG TikTok 숏폼,66000,1980,290000,137,3398000,3.00,146,2116,1172
